danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song,date,this_week,last_week,peak_position,weeks_on_chart
0.331,0.16,3,-13.339,1,0.0337,0.909,0.000197,0.128,0.322,84.364,audio_features,4SpYlfoXFnEFYG16nOfFmy,spotify:track:4SpYlfoXFnEFYG16nOfFmy,https://api.spotify.com/v1/tracks/4SpYlfoXFnEFYG16nOfFmy,https://api.spotify.com/v1/audio-analysis/4SpYlfoXFnEFYG16nOfFmy,162427,4,Pat Boone,If Dreams Came True,1958-08-11,12,14.0,12,2
0.838,0.171,4,-12.614,0,0.0729,0.23,0.0,0.11,0.397,135.925,audio_features,3aPlQWU07jGgyHaBHVS5TS,spotify:track:3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/tracks/3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/audio-analysis/3aPlQWU07jGgyHaBHVS5TS,199600,4,Peggy Lee,Fever,1958-08-04,10,,10,1
0.838,0.171,4,-12.614,0,0.0729,0.23,0.0,0.11,0.397,135.925,audio_features,3aPlQWU07jGgyHaBHVS5TS,spotify:track:3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/tracks/3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/audio-analysis/3aPlQWU07jGgyHaBHVS5TS,199600,4,Peggy Lee,Fever,1958-08-11,13,10.0,10,2
0.417,0.463,9,-8.027,1,0.03,0.762,0.0,0.223,0.627,72.568,audio_features,6xupOaBWORbDmakCdQwMRG,spotify:track:6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/tracks/6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/audio-analysis/6xupOaBWORbDmakCdQwMRG,160240,4,The Elegants,Little Star,1958-08-04,18,,18,1
0.417,0.463,9,-8.027,1,0.03,0.762,0.0,0.223,0.627,72.568,audio_features,6xupOaBWORbDmakCdQwMRG,spotify:track:6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/tracks/6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/audio-analysis/6xupOaBWORbDmakCdQwMRG,160240,4,The Elegants,Little Star,1958-08-11,14,18.0,14,2
0.576,0.347,10,-18.755,1,0.0317,0.852,0.599,0.124,0.85,114.883,audio_features,5kqXQHIgQ6UfFP9LfqPNgG,spotify:track:5kqXQHIgQ6UfFP9LfqPNgG,https://api.spotify.com/v1/tracks/5kqXQHIgQ6UfFP9LfqPNgG,https://api.spotify.com/v1/audio-analysis/5kqXQHIgQ6UfFP9LfqPNgG,144483,4,Frankie Avalon,Ginger Bread,1958-08-04,11,,11,1
0.576,0.347,10,-18.755,1,0.0317,0.852,0.599,0.124,0.85,114.883,audio_features,5kqXQHIgQ6UfFP9LfqPNgG,spotify:track:5kqXQHIgQ6UfFP9LfqPNgG,https://api.spotify.com/v1/tracks/5kqXQHIgQ6UfFP9LfqPNgG,https://api.spotify.com/v1/audio-analysis/5kqXQHIgQ6UfFP9LfqPNgG,144483,4,Frankie Avalon,Ginger Bread,1958-08-11,15,11.0,11,2
0.834,0.284,3,-13.497,1,0.102,0.657,2.4e-06,0.0676,0.684,92.224,audio_features,6QfGyzfwf7dm38Tmf49BpC,spotify:track:6QfGyzfwf7dm38Tmf49BpC,https://api.spotify.com/v1/tracks/6QfGyzfwf7dm38Tmf49BpC,https://api.spotify.com/v1/audio-analysis/6QfGyzfwf7dm38Tmf49BpC,160467,4,Doris Day,Everybody Loves A Lover,1958-08-04,19,,19,1
0.834,0.284,3,-13.497,1,0.102,0.657,2.4e-06,0.0676,0.684,92.224,audio_features,6QfGyzfwf7dm38Tmf49BpC,spotify:track:6QfGyzfwf7dm38Tmf49BpC,https://api.spotify.com/v1/tracks/6QfGyzfwf7dm38Tmf49BpC,https://api.spotify.com/v1/audio-analysis/6QfGyzfwf7dm38Tmf49BpC,160467,4,Doris Day,Everybody Loves A Lover,1958-08-11,16,19.0,16,2
0.356,0.404,9,-5.429,1,0.0298,0.892,1.35e-06,0.309,0.516,90.918,audio_features,5GEsOz5Pbln0j2RcmBGLa4,spotify:track:5GEsOz5Pbln0j2RcmBGLa4,https://api.spotify.com/v1/tracks/5GEsOz5Pbln0j2RcmBGLa4,https://api.spotify.com/v1/audio-analysis/5GEsOz5Pbln0j2RcmBGLa4,133227,3,The Danleers,One Summer Night,1958-08-04,16,,16,1
0.356,0.404,9,-5.429,1,0.0298,0.892,1.35e-06,0.309,0.516,90.918,audio_features,5GEsOz5Pbln0j2RcmBGLa4,spotify:track:5GEsOz5Pbln0j2RcmBGLa4,https://api.spotify.com/v1/tracks/5GEsOz5Pbln0j2RcmBGLa4,https://api.spotify.com/v1/audio-analysis/5GEsOz5Pbln0j2RcmBGLa4,133227,3,The Danleers,One Summer Night,1958-08-11,17,16.0,16,2
0.552,0.284,4,-10.481,1,0.0259,0.821,8.15e-06,0.119,0.788,85.077,audio_features,3ZyJfbh2Y9y15f45qY1pDJ,spotify:track:3ZyJfbh2Y9y15f45qY1pDJ,https://api.spotify.com/v1/tracks/3ZyJfbh2Y9y15f45qY1pDJ,https://api.spotify.com/v1/audio-analysis/3ZyJfbh2Y9y15f45qY1pDJ,139013,4,Poni-Tails,Born Too Late,1958-08-04,26,,26,1
0.552,0.284,4,-10.481,1,0.0259,0.821,8.15e-06,0.119,0.788,85.077,audio_features,3ZyJfbh2Y9y15f45qY1pDJ,spotify:track:3ZyJfbh2Y9y15f45qY1pDJ,https://api.spotify.com/v1/tracks/3ZyJfbh2Y9y15f45qY1pDJ,https://api.spotify.com/v1/audio-analysis/3ZyJfbh2Y9y15f45qY1pDJ,139013,4,Poni-Tails,Born Too Late,1958-08-11,18,26.0,18,2
0.767,0.721,1,-5.586,1,0.0456,0.153,1.52e-06,0.108,0.884,150.065,audio_features,3v5o91PrUtf0nmO6j8J7dZ,spotify:track:3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/tracks/3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/audio-analysis/3v5o91PrUtf0nmO6j8J7dZ,208066,4,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),1958-08-04,13,,13,1
0.767,0.721,1,-5.586,1,0.0456,0.153,1.52e-06,0.108,0.884,150.065,audio_features,3v5o91PrUtf0nmO6j8J7dZ,spotify:track:3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/tracks/3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/audio-analysis/3v5o91PrUtf0nmO6j8J7dZ,208066,4,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),1958-08-11,19,13.0,13,2
